date,product,customer_segment,price,competitor_price,quantity_sold,unit_cost,inventory_level,days_since_promotion,competitor_promotion,month,quarter,day_of_week,revenue,cost,profit,margin_percent
2021-07-17,Reagent_Kit,Government,436.34,463.96,82,171.0,123,69,0,7,3,5,35779.88,14022.0,21757.879999999997,60.81
2023-02-03,Microscope,Government,15799.04,14271.55,97,5700.0,146,147,0,2,1,4,1532506.8800000001,552900.0,979606.8800000001,63.92
2023-07-18,Pipettes,Academic,290.78,291.81,58,114.0,10,177,1,7,3,1,16865.239999999998,6612.0,10253.239999999998,60.8
2021-09-20,PCR_System,Biotech,8383.96,8915.88,150,3040.0,59,112,0,9,3,0,1257593.9999999998,456000.0,801593.9999999998,63.74
2023-11-27,Pipettes,Academic,334.44,313.62,52,114.0,146,47,0,11,4,0,17390.88,5928.0,11462.880000000001,65.91
2021-02-23,Pipettes,Government,325.19,334.43,72,114.0,199,163,1,2,1,1,23413.68,8208.0,15205.68,64.94
2022-05-25,Pipettes,Pharma,339.61,371.78,109,114.0,109,81,0,5,2,2,37017.49,12426.0,24591.489999999998,66.43
2023-08-15,Microscope,Government,13759.21,14343.1,65,5700.0,20,47,0,8,3,1,894348.6499999999,370500.0,523848.6499999999,58.57
2022-10-02,Microscope,Academic,15307.39,14063.43,85,5700.0,118,21,0,10,4,6,1301128.15,484500.0,816628.1499999999,62.76
2022-03-14,Reagent_Kit,Biotech,504.82,498.2,94,171.0,96,27,0,3,1,0,47453.08,16074.0,31379.08,66.13
2023-10-17,Centrifuge,Academic,12800.83,12239.57,69,4560.0,48,16,1,10,4,1,883257.27,314640.0,568617.27,64.38
2022-06-02,Reagent_Kit,Pharma,432.47,390.56,130,171.0,45,94,1,6,2,3,56221.100000000006,22230.0,33991.100000000006,60.46
2021-07-10,Centrifuge,Government,11300.51,10601.94,66,4560.0,66,127,0,7,3,5,745833.66,300960.0,444873.66000000003,59.65
2022-07-20,PCR_System,Biotech,8470.47,8589.16,65,3040.0,31,174,1,7,3,2,550580.5499999999,197600.0,352980.54999999993,64.11
2021-06-04,PCR_System,Biotech,7508.7,7242.21,103,3040.0,136,42,0,6,2,4,773396.1,313120.0,460276.1,59.51
2023-01-29,Reagent_Kit,Pharma,439.17,417.76,162,171.0,59,134,0,1,1,6,71145.54000000001,27702.0,43443.54000000001,61.06
2021-11-17,Reagent_Kit,Government,392.08,383.98,100,171.0,114,142,0,11,4,2,39208.0,17100.0,22108.0,56.39
2022-12-28,PCR_System,Government,8412.86,8123.72,81,3040.0,189,124,0,12,4,2,681441.66,246240.0,435201.66000000003,63.86
2021-11-01,PCR_System,Pharma,6889.64,7334.16,169,3040.0,187,100,0,11,4,0,1164349.1600000001,513760.0,650589.1600000001,55.88
2023-10-01,Reagent_Kit,Government,512.81,508.43,121,171.0,115,93,0,10,4,6,62050.009999999995,20691.0,41359.009999999995,66.65
2021-09-26,Pipettes,Government,342.26,356.95,83,114.0,119,62,0,9,3,6,28407.579999999998,9462.0,18945.579999999998,66.69
2023-01-11,PCR_System,Biotech,7242.4,6635.3,131,3040.0,139,128,0,1,1,2,948754.3999999999,398240.0,550514.3999999999,58.02
2023-03-13,Centrifuge,Biotech,11063.23,10164.62,111,4560.0,116,128,1,3,1,0,1228018.53,506160.0,721858.53,58.78
2023-05-11,Reagent_Kit,Pharma,439.15,416.99,146,171.0,85,28,0,5,2,3,64115.899999999994,24966.0,39149.899999999994,61.06
2023-10-06,Reagent_Kit,Biotech,424.54,465.26,148,171.0,143,175,0,10,4,4,62831.920000000006,25308.0,37523.920000000006,59.72
2021-12-23,Pipettes,Academic,290.87,297.6,78,114.0,33,179,0,12,4,3,22687.86,8892.0,13795.86,60.81
2022-03-18,PCR_System,Biotech,8002.5,8065.52,128,3040.0,15,23,1,3,1,4,1024320.0,389120.0,635200.0,62.01
2023-06-15,PCR_System,Academic,8327.37,8828.59,50,3200.0,162,123,0,6,2,3,416368.50000000006,160000.0,256368.50000000006,61.57
2023-12-03,Reagent_Kit,Biotech,408.93,373.71,116,171.0,129,34,0,12,4,6,47435.88,19836.0,27599.879999999997,58.18
2022-08-28,PCR_System,Government,8827.7,7986.02,70,3040.0,104,134,0,8,3,6,617939.0,212800.0,405139.0,65.56
2022-02-17,Reagent_Kit,Pharma,387.79,381.43,222,171.0,163,137,0,2,1,3,86089.38,37962.0,48127.380000000005,55.9
2023-09-05,Microscope,Academic,13875.07,14098.58,109,5700.0,36,11,0,9,3,1,1512382.63,621300.0,891082.6299999999,58.92
2021-08-05,Reagent_Kit,Biotech,414.66,404.52,96,171.0,83,111,0,8,3,3,39807.36,16416.0,23391.36,58.76
2023-11-09,Reagent_Kit,Biotech,435.04,392.48,146,171.0,75,8,0,11,4,3,63515.840000000004,24966.0,38549.840000000004,60.69
2021-05-24,Pipettes,Biotech,295.36,283.14,114,114.0,122,52,0,5,2,0,33671.04,12996.0,20675.04,61.4
2021-04-19,Centrifuge,Biotech,13551.34,14836.68,130,4560.0,121,132,0,4,2,0,1761674.2,592800.0,1168874.2,66.35
2022-10-20,Reagent_Kit,Biotech,513.27,532.57,145,171.0,144,6,0,10,4,3,74424.15,24795.0,49629.149999999994,66.68
2023-08-04,PCR_System,Academic,8940.55,8308.64,43,3200.0,165,82,0,8,3,4,384443.64999999997,137600.0,246843.64999999997,64.21
2022-05-15,Reagent_Kit,Academic,414.45,448.25,82,171.0,35,69,0,5,2,6,33984.9,14022.0,19962.9,58.74
2023-05-26,Microscope,Academic,15262.82,15031.5,80,5700.0,38,125,0,5,2,4,1221025.6,456000.0,765025.6000000001,62.65
2023-12-18,Reagent_Kit,Pharma,482.53,508.32,152,171.0,166,0,0,12,4,0,73344.56,25992.0,47352.56,64.56
2022-05-20,Pipettes,Pharma,288.74,276.36,184,114.0,165,116,1,5,2,4,53128.16,20976.0,32152.160000000003,60.52
2022-11-03,Pipettes,Academic,305.04,294.22,55,114.0,163,146,1,11,4,3,16777.2,6270.0,10507.2,62.63
2022-10-18,PCR_System,Biotech,8569.04,9280.71,170,3040.0,15,101,0,10,4,1,1456736.8,516800.0,939936.8,64.52
2023-10-29,Pipettes,Academic,270.27,278.21,104,114.0,59,177,0,10,4,6,28108.079999999998,11856.0,16252.079999999998,57.82
2023-01-10,Reagent_Kit,Academic,515.64,536.07,57,171.0,160,156,0,1,1,1,29391.48,9747.0,19644.48,66.84
2022-01-25,Microscope,Academic,17024.1,17792.63,67,5700.0,193,9,1,1,1,1,1140614.7,381900.0,758714.7,66.52
2023-05-27,PCR_System,Biotech,7195.6,7067.89,151,3040.0,145,176,0,5,2,5,1086535.6,459040.0,627495.6000000001,57.75
2023-04-07,PCR_System,Biotech,8821.09,9417.97,105,3040.0,98,128,0,4,2,4,926214.4500000001,319200.0,607014.4500000001,65.54
2022-12-10,Pipettes,Academic,344.97,379.24,55,114.0,52,164,0,12,4,5,18973.350000000002,6270.0,12703.350000000002,66.95
2022-04-02,Microscope,Academic,13331.22,14541.83,78,5700.0,189,112,0,4,2,5,1039835.1599999999,444600.0,595235.1599999999,57.24
2021-04-05,PCR_System,Government,7072.54,7315.23,116,3040.0,117,2,0,4,2,0,820414.64,352640.0,467774.64,57.02
2023-12-14,Pipettes,Academic,342.12,313.96,61,114.0,144,111,0,12,4,3,20869.32,6954.0,13915.32,66.68
2022-08-01,Reagent_Kit,Academic,491.18,530.79,44,180.0,37,49,0,8,3,0,21611.920000000002,7920.0,13691.920000000002,63.35
2022-03-23,Microscope,Biotech,16018.79,16170.79,113,5700.0,78,29,0,3,1,2,1810123.27,644100.0,1166023.27,64.42
2021-05-13,Microscope,Academic,16334.12,16201.32,75,5700.0,16,83,0,5,2,3,1225059.0,427500.0,797559.0,65.1
2021-02-22,PCR_System,Pharma,7633.79,7189.71,163,3040.0,114,110,0,2,1,0,1244307.77,495520.0,748787.77,60.18
2023-06-19,Microscope,Pharma,13568.46,13149.65,129,5700.0,194,154,0,6,2,0,1750331.3399999999,735300.0,1015031.3399999999,57.99
2022-09-26,PCR_System,Academic,7337.24,7809.45,94,3040.0,169,60,0,9,3,0,689700.5599999999,285760.0,403940.55999999994,58.57
2021-08-21,Centrifuge,Academic,11481.57,12386.82,43,4800.0,44,154,0,8,3,5,493707.51,206400.0,287307.51,58.19
2021-08-02,Centrifuge,Biotech,10494.33,11278.42,109,4560.0,60,80,0,8,3,0,1143881.97,497040.0,646841.97,56.55
2022-09-17,Centrifuge,Government,12350.2,13551.28,128,4560.0,55,13,0,9,3,5,1580825.6,583680.0,997145.6000000001,63.08
2022-10-28,PCR_System,Academic,6888.04,6546.99,118,3040.0,110,150,0,10,4,4,812788.72,358720.0,454068.72,55.87
2023-03-17,Pipettes,Academic,302.94,287.33,62,114.0,27,38,0,3,1,4,18782.28,7068.0,11714.279999999999,62.37
2023-03-23,PCR_System,Pharma,7359.72,7128.52,164,3040.0,137,66,0,3,1,3,1206994.08,498560.0,708434.0800000001,58.69
2021-08-16,PCR_System,Biotech,8089.06,8229.55,91,3040.0,112,82,0,8,3,0,736104.4600000001,276640.0,459464.4600000001,62.42
2022-11-23,Reagent_Kit,Pharma,469.7,476.35,132,171.0,108,120,0,11,4,2,62000.4,22572.0,39428.4,63.59
2022-09-16,Reagent_Kit,Pharma,404.19,378.85,209,171.0,94,151,1,9,3,4,84475.71,35739.0,48736.71000000001,57.69
2022-06-27,Microscope,Biotech,14596.79,16005.02,72,5700.0,65,74,1,6,2,0,1050968.8800000001,410400.0,640568.8800000001,60.95
2022-05-19,Centrifuge,Pharma,12802.43,13623.99,154,4560.0,135,25,0,5,2,3,1971574.22,702240.0,1269334.22,64.38
2021-11-22,Pipettes,Academic,342.12,356.55,48,120.0,19,112,0,11,4,0,16421.760000000002,5760.0,10661.760000000002,64.92
2022-10-16,Centrifuge,Pharma,11239.07,11421.68,177,4560.0,99,76,0,10,4,6,1989315.39,807120.0,1182195.39,59.43
2022-11-21,Centrifuge,Pharma,11835.36,11950.41,154,4560.0,129,12,0,11,4,0,1822645.4400000002,702240.0,1120405.4400000002,61.47
2021-11-25,Pipettes,Academic,323.42,329.61,60,114.0,162,93,0,11,4,3,19405.2,6840.0,12565.2,64.75
2021-08-24,Reagent_Kit,Pharma,437.65,475.55,130,171.0,161,75,0,8,3,1,56894.5,22230.0,34664.5,60.93
2023-07-07,Centrifuge,Government,10373.14,10957.18,88,4560.0,13,59,0,7,3,4,912836.32,401280.0,511556.31999999995,56.04
2021-01-05,Reagent_Kit,Academic,414.32,425.4,92,171.0,88,41,0,1,1,1,38117.44,15732.0,22385.440000000002,58.73
2022-02-26,Microscope,Academic,15179.01,14993.06,71,5700.0,144,52,1,2,1,5,1077709.71,404700.0,673009.71,62.45
2021-07-17,Microscope,Biotech,16979.24,17412.92,72,5700.0,191,14,1,7,3,5,1222505.28,410400.0,812105.28,66.43
2022-04-23,Centrifuge,Government,13418.01,14192.49,78,4560.0,96,154,0,4,2,5,1046604.78,355680.0,690924.78,66.02
2022-06-01,Pipettes,Pharma,333.91,323.36,97,114.0,158,46,0,6,2,2,32389.270000000004,11058.0,21331.270000000004,65.86
2021-01-15,Pipettes,Government,326.76,303.88,76,114.0,75,172,0,1,1,4,24833.76,8664.0,16169.759999999998,65.11
2023-03-05,Microscope,Biotech,13883.1,13454.65,109,5700.0,73,103,0,3,1,6,1513257.9000000001,621300.0,891957.9000000001,58.94
2021-12-29,PCR_System,Pharma,7168.04,7291.66,171,3040.0,110,103,1,12,4,2,1225734.84,519840.0,705894.8400000001,57.59
2021-12-22,Pipettes,Government,337.69,357.28,65,114.0,126,105,0,12,4,2,21949.85,7410.0,14539.849999999999,66.24
2023-10-11,PCR_System,Academic,6985.57,6432.66,121,3040.0,10,150,0,10,4,2,845253.97,367840.0,477413.97,56.48
2022-02-24,Reagent_Kit,Academic,399.33,432.94,96,171.0,54,114,0,2,1,3,38335.68,16416.0,21919.68,57.18
2023-08-27,Reagent_Kit,Biotech,482.97,454.53,84,171.0,153,168,0,8,3,6,40569.48,14364.0,26205.480000000003,64.59
2021-03-16,Pipettes,Academic,338.07,335.75,56,114.0,90,16,0,3,1,1,18931.92,6384.0,12547.919999999998,66.28
2023-02-02,Microscope,Government,13383.86,12517.62,107,5700.0,197,87,0,2,1,3,1432073.02,609900.0,822173.02,57.41
2023-09-30,Reagent_Kit,Biotech,467.86,422.3,156,171.0,198,80,1,9,3,5,72986.16,26676.0,46310.16,63.45
2021-12-08,Centrifuge,Government,10507.26,11551.42,111,4560.0,0,140,0,12,4,2,1166305.86,506160.0,660145.8600000001,56.6
2023-08-10,Microscope,Biotech,16791.24,15801.03,68,5700.0,172,29,0,8,3,3,1141804.32,387600.0,754204.3200000001,66.05
2023-02-08,Microscope,Pharma,16239.87,16088.16,144,5700.0,112,113,0,2,1,2,2338541.2800000003,820800.0,1517741.2800000003,64.9
2023-07-14,Microscope,Biotech,13089.77,13752.75,82,5700.0,109,161,0,7,3,4,1073361.1400000001,467400.0,605961.1400000001,56.45
2023-10-29,Pipettes,Government,257.44,243.12,152,114.0,186,71,0,10,4,6,39130.88,17328.0,21802.879999999997,55.72
2023-12-11,Reagent_Kit,Biotech,470.62,445.98,94,171.0,95,87,0,12,4,0,44238.28,16074.0,28164.28,63.66
2022-03-28,Microscope,Government,16999.84,15779.53,89,5700.0,54,175,0,3,1,0,1512985.76,507300.0,1005685.76,66.47
2021-05-31,PCR_System,Biotech,8835.51,8168.92,122,3040.0,28,81,1,5,2,0,1077932.22,370880.0,707052.22,65.59
2023-01-16,Reagent_Kit,Government,493.89,480.36,70,171.0,19,4,0,1,1,0,34572.299999999996,11970.0,22602.299999999996,65.38
2023-12-13,Centrifuge,Pharma,11260.08,12270.0,174,4560.0,23,80,1,12,4,2,1959253.92,793440.0,1165813.92,59.5
2021-05-08,Microscope,Pharma,13569.48,13528.17,160,5700.0,8,39,0,5,2,5,2171116.8,912000.0,1259116.7999999998,57.99
2022-05-09,Centrifuge,Biotech,13743.85,13814.46,93,4560.0,36,74,0,5,2,0,1278178.05,424080.0,854098.05,66.82
2021-02-10,Reagent_Kit,Pharma,419.5,424.04,176,171.0,121,75,0,2,1,2,73832.0,30096.0,43736.0,59.24
2021-01-27,PCR_System,Pharma,8960.04,9630.06,136,3040.0,11,52,0,1,1,2,1218565.4400000002,413440.0,805125.4400000002,66.07
2023-07-11,Reagent_Kit,Academic,437.09,460.77,49,180.0,129,53,0,7,3,1,21417.41,8820.0,12597.41,58.82
2023-03-05,Microscope,Academic,13057.12,13937.38,74,5700.0,163,112,0,3,1,6,966226.88,421800.0,544426.88,56.35
2021-04-08,Microscope,Pharma,14534.92,15854.95,130,5700.0,55,32,0,4,2,3,1889539.6,741000.0,1148539.6,60.78
2023-08-16,Pipettes,Biotech,340.97,317.42,70,114.0,193,72,0,8,3,2,23867.9,7980.0,15887.900000000001,66.57
2021-03-02,Centrifuge,Academic,12678.25,12512.99,60,4560.0,130,107,0,3,1,1,760695.0,273600.0,487095.0,64.03
2021-10-02,PCR_System,Government,7555.03,8019.56,164,3040.0,16,73,0,10,4,5,1239024.92,498560.0,740464.9199999999,59.76
2021-01-12,Centrifuge,Biotech,12150.84,13057.16,129,4560.0,148,80,0,1,1,1,1567458.36,588240.0,979218.3600000001,62.47
2022-05-04,Centrifuge,Pharma,13598.61,12345.98,146,4560.0,198,144,0,5,2,2,1985397.06,665760.0,1319637.06,66.47
2021-09-07,Reagent_Kit,Pharma,424.74,392.5,232,171.0,114,175,0,9,3,1,98539.68000000001,39672.0,58867.68000000001,59.74
2022-08-17,Microscope,Biotech,16102.79,14669.26,79,5700.0,186,102,0,8,3,2,1272120.4100000001,450300.0,821820.4100000001,64.6
2021-07-07,Microscope,Government,14914.78,16063.21,71,5700.0,182,107,0,7,3,2,1058949.3800000001,404700.0,654249.3800000001,61.78
2023-09-09,Centrifuge,Government,11347.51,11633.22,156,4560.0,169,107,0,9,3,5,1770211.56,711360.0,1058851.56,59.81
2022-06-30,Microscope,Pharma,12845.71,13808.37,116,5700.0,159,95,0,6,2,3,1490102.3599999999,661200.0,828902.3599999999,55.63
2023-08-16,Pipettes,Academic,262.97,238.65,61,114.0,15,120,0,8,3,2,16041.170000000002,6954.0,9087.170000000002,56.65
2021-12-06,Centrifuge,Biotech,12855.3,12183.68,95,4560.0,141,119,0,12,4,0,1221253.5,433200.0,788053.5,64.53
2021-10-20,Pipettes,Pharma,258.79,233.83,304,114.0,72,142,0,10,4,2,78672.16,34656.0,44016.16,55.95
2021-07-06,Pipettes,Government,340.5,360.0,46,120.0,197,38,1,7,3,1,15663.0,5520.0,10143.0,64.76
2021-08-14,Microscope,Pharma,13501.65,14827.97,99,5700.0,147,92,0,8,3,5,1336663.3499999999,564300.0,772363.3499999999,57.78
2021-08-14,Reagent_Kit,Biotech,434.35,394.11,104,171.0,119,5,0,8,3,5,45172.4,17784.0,27388.4,60.63
2023-11-10,Centrifuge,Academic,13781.67,12882.81,60,4560.0,177,81,0,11,4,4,826900.2,273600.0,553300.2,66.91
2023-02-20,Microscope,Government,13757.18,13858.91,109,5700.0,141,100,0,2,1,0,1499532.62,621300.0,878232.6200000001,58.57
2022-09-27,Centrifuge,Government,10666.25,11495.55,168,4560.0,75,169,0,9,3,1,1791930.0,766080.0,1025850.0,57.25
2023-08-13,Centrifuge,Academic,11213.01,10658.3,41,4800.0,132,175,0,8,3,6,459733.41000000003,196800.0,262933.41000000003,57.19
2023-08-31,Reagent_Kit,Government,503.25,552.72,48,180.0,44,61,0,8,3,3,24156.0,8640.0,15516.0,64.23
2023-11-30,PCR_System,Biotech,8427.24,8538.03,102,3040.0,5,146,1,11,4,3,859578.48,310080.0,549498.48,63.93
2022-07-25,Pipettes,Academic,333.06,346.94,46,120.0,88,169,0,7,3,0,15320.76,5520.0,9800.76,63.97
2022-12-01,Microscope,Pharma,13463.72,14489.31,183,5700.0,30,22,0,12,4,3,2463860.76,1043100.0,1420760.7599999998,57.66
2021-03-23,Microscope,Academic,16430.85,17522.3,66,5700.0,38,12,0,3,1,1,1084436.0999999999,376200.0,708236.0999999999,65.31
2021-01-17,Centrifuge,Academic,10617.04,10355.21,62,4560.0,108,162,0,1,1,6,658256.4800000001,282720.0,375536.4800000001,57.05
2022-08-09,Microscope,Pharma,14695.08,15694.71,101,5700.0,78,36,0,8,3,1,1484203.08,575700.0,908503.0800000001,61.21
2022-04-29,Pipettes,Government,261.11,250.71,139,114.0,149,144,0,4,2,4,36294.29,15846.0,20448.29,56.34
2022-04-19,Centrifuge,Pharma,10468.9,11206.78,200,4560.0,174,28,0,4,2,1,2093780.0,912000.0,1181780.0,56.44
2023-08-06,Microscope,Biotech,16162.18,14625.44,64,5700.0,133,110,0,8,3,6,1034379.52,364800.0,669579.52,64.73
2022-07-24,Microscope,Biotech,12754.63,11884.61,91,5700.0,3,98,0,7,3,6,1160671.3299999998,518700.0,641971.3299999998,55.31
2023-06-03,Reagent_Kit,Academic,495.89,522.95,37,180.0,26,80,1,6,2,5,18347.93,6660.0,11687.93,63.7
2021-01-21,Pipettes,Academic,336.86,360.93,67,114.0,146,130,0,1,1,3,22569.620000000003,7638.0,14931.620000000003,66.16
2023-07-23,PCR_System,Government,7351.89,6930.05,62,3040.0,24,23,0,7,3,6,455817.18,188480.0,267337.18,58.65
2023-12-20,Pipettes,Government,271.7,291.73,132,114.0,78,26,0,12,4,2,35864.4,15048.0,20816.4,58.04
2022-01-22,Pipettes,Biotech,326.71,313.26,119,114.0,121,130,0,1,1,5,38878.49,13566.0,25312.489999999998,65.11
2021-07-25,Centrifuge,Pharma,12353.98,12619.11,92,4560.0,8,165,0,7,3,6,1136566.16,419520.0,717046.1599999999,63.09
2022-12-27,Pipettes,Biotech,307.38,293.18,128,114.0,138,63,0,12,4,1,39344.64,14592.0,24752.64,62.91
2021-12-04,Reagent_Kit,Pharma,447.29,456.24,138,171.0,44,32,1,12,4,5,61726.020000000004,23598.0,38128.020000000004,61.77
2023-02-18,Centrifuge,Government,11929.83,10987.2,90,4560.0,120,45,0,2,1,5,1073684.7,410400.0,663284.7,61.78
2022-11-04,Pipettes,Government,305.37,275.43,90,114.0,1,32,1,11,4,4,27483.3,10260.0,17223.3,62.67
2021-04-26,Centrifuge,Academic,11488.08,11079.33,86,4560.0,89,173,0,4,2,0,987974.88,392160.0,595814.88,60.31
2023-06-06,PCR_System,Pharma,8408.93,9168.34,84,3040.0,122,133,0,6,2,1,706350.12,255360.0,450990.12,63.85
2021-08-11,Centrifuge,Biotech,12148.67,12656.63,95,4560.0,177,91,0,8,3,2,1154123.65,433200.0,720923.6499999999,62.47
2021-01-07,Microscope,Biotech,15723.69,15890.37,121,5700.0,21,153,0,1,1,3,1902566.49,689700.0,1212866.49,63.75
2023-05-24,Centrifuge,Government,11778.99,12308.63,105,4560.0,11,140,0,5,2,2,1236793.95,478800.0,757993.95,61.29
2023-01-20,Microscope,Pharma,14266.03,13359.05,172,5700.0,182,31,0,1,1,4,2453757.16,980400.0,1473357.1600000001,60.04
2023-07-03,PCR_System,Pharma,8367.83,8087.2,101,3040.0,58,130,0,7,3,0,845150.83,307040.0,538110.83,63.67
2022-03-21,Microscope,Biotech,13074.89,11847.56,117,5700.0,75,48,1,3,1,0,1529762.13,666900.0,862862.1299999999,56.4
2021-01-24,PCR_System,Academic,7821.18,7580.19,68,3040.0,19,151,0,1,1,6,531840.24,206720.0,325120.24,61.13
2022-02-24,Microscope,Government,12882.28,12613.07,114,5700.0,78,161,0,2,1,3,1468579.9200000002,649800.0,818779.9200000002,55.75
2021-07-05,PCR_System,Biotech,8989.67,8469.46,76,3040.0,39,20,0,7,3,0,683214.92,231040.0,452174.92000000004,66.18
2021-04-10,Microscope,Pharma,16840.65,15761.78,125,5700.0,77,1,0,4,2,5,2105081.25,712500.0,1392581.25,66.15
2023-10-02,Reagent_Kit,Pharma,441.52,405.97,193,171.0,13,83,0,10,4,0,85213.36,33003.0,52210.36,61.27
2021-01-28,Centrifuge,Biotech,11129.28,11478.15,118,4560.0,167,163,1,1,1,3,1313255.04,538080.0,775175.04,59.03
2022-09-22,Microscope,Pharma,13513.91,13567.36,194,5700.0,93,104,0,9,3,3,2621698.54,1105800.0,1515898.54,57.82
2023-08-30,Pipettes,Government,318.61,297.39,54,114.0,120,106,0,8,3,2,17204.940000000002,6156.0,11048.940000000002,64.22
2021-06-14,Reagent_Kit,Government,488.04,508.09,60,171.0,110,133,0,6,2,0,29282.4,10260.0,19022.4,64.96
2021-11-30,Reagent_Kit,Government,390.21,392.64,145,171.0,28,0,0,11,4,1,56580.45,24795.0,31785.449999999997,56.18
2023-12-19,Reagent_Kit,Academic,425.18,425.8,62,171.0,19,42,0,12,4,1,26361.16,10602.0,15759.16,59.78
2023-11-29,Centrifuge,Pharma,11837.06,11873.99,150,4560.0,171,37,0,11,4,2,1775559.0,684000.0,1091559.0,61.48
2023-01-16,Reagent_Kit,Government,481.44,448.93,79,171.0,7,156,0,1,1,0,38033.76,13509.0,24524.760000000002,64.48
2021-03-27,Reagent_Kit,Biotech,416.97,430.45,160,171.0,170,157,0,3,1,5,66715.20000000001,27360.0,39355.20000000001,58.99
2021-10-30,Centrifuge,Pharma,12254.2,11103.25,224,4560.0,45,32,0,10,4,5,2744940.8000000003,1021440.0,1723500.8000000003,62.79
2023-12-29,Reagent_Kit,Government,460.42,446.48,83,171.0,191,62,1,12,4,4,38214.86,14193.0,24021.86,62.86
2022-11-19,Centrifuge,Academic,12908.74,11851.47,60,4560.0,67,97,0,11,4,5,774524.4,273600.0,500924.4,64.68
2021-01-19,Pipettes,Pharma,327.71,344.9,143,114.0,82,108,0,1,1,1,46862.53,16302.0,30560.53,65.21
2023-12-25,Centrifuge,Academic,11519.26,11280.06,77,4560.0,59,92,0,12,4,0,886983.02,351120.0,535863.02,60.41
2021-10-18,Centrifuge,Government,11018.17,10077.65,144,4560.0,109,73,0,10,4,0,1586616.48,656640.0,929976.48,58.61
2021-03-26,Centrifuge,Biotech,13308.0,13358.79,109,4560.0,116,153,0,3,1,4,1450572.0,497040.0,953532.0,65.73
2021-10-31,Reagent_Kit,Pharma,460.82,463.92,196,171.0,175,86,0,10,4,6,90320.72,33516.0,56804.72,62.89
2023-06-10,PCR_System,Government,8050.96,8570.08,67,3040.0,79,46,0,6,2,5,539414.32,203680.0,335734.31999999995,62.24
2022-12-16,Centrifuge,Government,11568.27,10867.59,102,4560.0,18,33,0,12,4,4,1179963.54,465120.0,714843.54,60.58
2022-01-08,Pipettes,Government,280.64,269.82,126,114.0,34,135,0,1,1,5,35360.64,14364.0,20996.64,59.38
2021-01-02,Pipettes,Pharma,279.54,274.7,144,114.0,6,94,1,1,1,5,40253.76,16416.0,23837.760000000002,59.22
2023-08-17,Reagent_Kit,Biotech,396.93,402.27,91,171.0,35,83,0,8,3,3,36120.63,15561.0,20559.629999999997,56.92
